                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6104,                 5.1459,                 1.0724,                0.07219,                 0.5184,                0.28342,                0.14179,                 1.5247,                 3.5647,                 1.1202,             0.00065965,             0.00065965,             0.00065965
                      2,                 1.6856,                 3.5577,                 1.1611,                0.41029,                0.35047,                0.25353,                0.12052,                 1.7798,                 2.5374,                 1.2695,              0.0013132,              0.0013132,              0.0013132
                      3,                 1.6228,                 2.6558,                 1.1634,                0.51867,                0.36792,                0.29023,                0.16251,                 1.5443,                 2.3679,                 1.2237,              0.0019535,              0.0019535,              0.0019535
                      4,                 1.6313,                 2.3533,                 1.2057,                0.48641,                0.48632,                0.36618,                0.19123,                 1.6078,                 1.5672,                  1.197,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5884,                 2.0754,                 1.1389,                0.50044,                0.51509,                0.39437,                0.22498,                 1.5128,                 1.5745,                 1.1655,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5303,                 1.9517,                 1.1485,                0.50404,                0.48396,                 0.3833,                0.20935,                 1.5637,                  1.557,                  1.207,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5566,                  1.936,                  1.153,                0.51044,                0.50904,                 0.3929,                0.21804,                 1.5749,                 1.5525,                  1.159,               0.001901,               0.001901,               0.001901
                      8,                 1.5109,                 1.8219,                 1.1388,                 0.5106,                0.56132,                0.42144,                0.24694,                 1.3716,                 1.4539,                 1.1268,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4456,                 1.8632,                 1.1128,                0.45765,                0.46934,                0.37598,                0.22107,                 1.4016,                 1.6365,                 1.1129,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4489,                 1.8027,                 1.0942,                0.51791,                0.52547,                0.41228,                0.24739,                 1.3525,                 1.4877,                 1.1157,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3864,                 1.8598,                 1.0893,                0.53021,                0.57736,                0.43523,                0.26487,                  1.303,                 1.4436,                 1.0948,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3963,                  1.747,                 1.0868,                0.49867,                0.60236,                0.42352,                0.25016,                 1.3716,                 1.4664,                 1.1013,               0.001802,               0.001802,               0.001802
                     13,                 1.3561,                 1.7698,                  1.074,                0.51644,                0.59953,                 0.4394,                0.27572,                 1.2722,                  1.434,                 1.0982,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3681,                 1.7642,                 1.0561,                0.52492,                0.58633,                 0.4388,                0.26954,                 1.2887,                 1.3787,                 1.0953,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3149,                 1.6903,                 1.0643,                0.52768,                0.54481,                0.43386,                0.25311,                 1.3674,                 1.4145,                 1.0875,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3072,                 1.7554,                 1.0662,                0.53377,                0.55839,                0.43635,                0.27761,                 1.2545,                 1.5036,                 1.0857,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3326,                 1.6958,                 1.0526,                 0.5363,                0.57119,                0.44898,                0.27465,                 1.2659,                 1.4604,                   1.07,               0.001703,               0.001703,               0.001703
                     18,                 1.2346,                 1.6634,                 1.0197,                0.53615,                0.55896,                0.43639,                0.27021,                  1.297,                 1.3148,                 1.0771,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3723,                 1.7679,                 1.0928,                0.52034,                0.58284,                0.44733,                0.26782,                 1.3371,                 1.3535,                 1.0985,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3029,                 1.6185,                 1.0598,                0.52379,                 0.5217,                0.41222,                0.23724,                 1.4969,                 1.6019,                 1.1578,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3227,                 1.7531,                 1.0948,                0.52357,                0.55259,                0.43152,                 0.2793,                 1.1792,                 1.3342,                 1.0609,              0.0016238,              0.0016238,              0.0016238
